"통계분류(1)",통계분류(2),2020,2021,2022,2023,2024,2025
"전체",소계,47,49.8,48.1,52,49.5,52.2
"도시규모별",대도시,49.2,50.8,50.8,51.8,51.6,54.7
"도시규모별",중소도시,46,49.6,45.8,50.9,47.4,49.8
"도시규모별",읍 면 이하,44.3,47.9,46.6,54.7,49.1,51.6
"성별",남자,43.2,46.1,44.6,48.5,47.8,50.2
"성별",여자,50.8,53.5,51.5,55.6,51.2,54.2
"연령별",10대,34.6,41.4,39.5,35.3,29.8,31.5
"연령별",20대,44.6,53.3,50.1,48.4,48.7,55
"연령별",30대,46.3,48.4,48.7,55.1,55.5,57.6
"연령별",40대,48.1,50.3,50.3,51.8,49.4,54.6
"연령별",50대,50.8,48,49.2,53.9,49.6,49.2
"연령별",60대,50.2,51.8,46.9,56.9,54.8,56.2
"연령별",70세 이상,50.1,53.4,48.1,56.5,51.4,54.6
"학력별",초등학교 이하,46.6,53.9,55.1,51.9,47,50.3
"학력별",중학교,41.2,43.1,41.9,44.8,37.9,40.1
"학력별",고등학교,47.1,50.8,46.4,51.2,48.2,48.8
"학력별",대학(4년제 미만),44.2,49.2,48.6,51.6,46.9,53.4
"학력별",대학교(4년제 이상),52.3,51.1,50.6,57,58.8,61
"학력별",대학원 이상,58.7,41,69.7,48.9,76.8,76.2
